strategy,pt,net_benefit,net_benefit_treat_all,beats_both
single best (lightgbm_n800_leaves15_lr0.01),0.01,0.17417946780827667,0.18156635608159152,False
single best (lightgbm_n800_leaves15_lr0.01),0.01197324414715719,0.1711080013600056,0.1799318159356574,False
single best (lightgbm_n800_leaves15_lr0.01),0.013946488294314382,0.17075401825532024,0.17829073385921348,False
single best (lightgbm_n800_leaves15_lr0.01),0.015919732441471574,0.16762241312046322,0.1766430704992928,False
single best (lightgbm_n800_leaves15_lr0.01),0.01789297658862876,0.16730396344037435,0.17498878618665728,False
single best (lightgbm_n800_leaves15_lr0.01),0.01986622073578595,0.16273335535082772,0.17332784093261416,False
single best (lightgbm_n800_leaves15_lr0.01),0.021839464882943145,0.16242573166346017,0.17166019442579378,False
single best (lightgbm_n800_leaves15_lr0.01),0.023812709030100333,0.1621504606492176,0.16998580602888827,False
single best (lightgbm_n800_leaves15_lr0.01),0.02578595317725752,0.15756931460389828,0.1683046347753507,False
single best (lightgbm_n800_leaves15_lr0.01),0.027759197324414717,0.15603896221461808,0.16661663936605403,False
single best (lightgbm_n800_leaves15_lr0.01),0.029732441471571905,0.1530407178631546,0.16492177816590917,False
single best (lightgbm_n800_leaves15_lr0.01),0.03170568561872909,0.15279450024838132,0.1632200092004418,False
single best (lightgbm_n800_leaves15_lr0.01),0.03367892976588629,0.15271472074872108,0.16151129015232724,False
single best (lightgbm_n800_leaves15_lr0.01),0.035652173913043476,0.15103322351248535,0.15979557835788274,False
single best (lightgbm_n800_leaves15_lr0.01),0.037625418060200665,0.1508552120160477,0.15807283080351664,False
single best (lightgbm_n800_leaves15_lr0.01),0.03959866220735785,0.15064212756581888,0.1563430041221337,False
single best (lightgbm_n800_leaves15_lr0.01),0.04157190635451505,0.15044527512675712,0.15460605458949614,False
single best (lightgbm_n800_leaves15_lr0.01),0.043545150501672236,0.1488166559116642,0.15286193812053958,False
single best (lightgbm_n800_leaves15_lr0.01),0.04551839464882943,0.1487156274171739,0.15111061026564318,False
single best (lightgbm_n800_leaves15_lr0.01),0.04749163879598662,0.14711397802608234,0.14935202620685362,False
single best (lightgbm_n800_leaves15_lr0.01),0.04946488294314381,0.1467638195431356,0.14758614075406182,False
single best (lightgbm_n800_leaves15_lr0.01),0.051438127090301,0.14502716267582097,0.14581290834113217,False
single best (lightgbm_n800_leaves15_lr0.01),0.05341137123745819,0.1447522325433039,0.1440322830219832,True
single best (lightgbm_n800_leaves15_lr0.01),0.05538461538461538,0.14309689877015527,0.14224421846661914,True
single best (lightgbm_n800_leaves15_lr0.01),0.057357859531772575,0.14291555054971677,0.1404486679571116,True
single best (lightgbm_n800_leaves15_lr0.01),0.05933110367892976,0.14265770396492394,0.13864558438353092,True
single best (lightgbm_n800_leaves15_lr0.01),0.06130434782608695,0.1424045963620687,0.1368349202398258,True
single best (lightgbm_n800_leaves15_lr0.01),0.06327759197324413,0.14095834114669256,0.13501662761965122,True
single best (lightgbm_n800_leaves15_lr0.01),0.06525083612040133,0.1394326865048715,0.1331906582121432,True
single best (lightgbm_n800_leaves15_lr0.01),0.06722408026755852,0.138017975247038,0.1313569632976404,True
single best (lightgbm_n800_leaves15_lr0.01),0.06919732441471571,0.13769689850423872,0.1295154937433506,True
single best (lightgbm_n800_leaves15_lr0.01),0.0711705685618729,0.13332546022758332,0.12766619999896267,True
single best (lightgbm_n800_leaves15_lr0.01),0.07314381270903009,0.13322342494941974,0.1258090320922019,True
single best (lightgbm_n800_leaves15_lr0.01),0.07511705685618728,0.13302028409228644,0.12394393962432888,True
single best (lightgbm_n800_leaves15_lr0.01),0.07709030100334446,0.13270650520312857,0.1220708717655804,True
single best (lightgbm_n800_leaves15_lr0.01),0.07906354515050165,0.13148197031616934,0.12018977725055169,True
single best (lightgbm_n800_leaves15_lr0.01),0.08103678929765885,0.13130054781652184,0.11830060437351934,True
single best (lightgbm_n800_leaves15_lr0.01),0.08301003344481604,0.13099892522634604,0.11640330098370381,True
single best (lightgbm_n800_leaves15_lr0.01),0.08498327759197323,0.1309532765276792,0.11449781448047046,True
single best (lightgbm_n800_leaves15_lr0.01),0.08695652173913042,0.1281493206700963,0.11258409180846854,True
single best (lightgbm_n800_leaves15_lr0.01),0.0889297658862876,0.12785691195272403,0.110662079452707,True
single best (lightgbm_n800_leaves15_lr0.01),0.0909030100334448,0.12770172782175593,0.108731723433566,True
single best (lightgbm_n800_leaves15_lr0.01),0.092876254180602,0.1274100861745758,0.10679296930174358,True
single best (lightgbm_n800_leaves15_lr0.01),0.09484949832775919,0.127117172959469,0.10484576213313594,True
single best (lightgbm_n800_leaves15_lr0.01),0.09682274247491637,0.1271199393156392,0.10289004652365084,True
single best (lightgbm_n800_leaves15_lr0.01),0.09879598662207356,0.12683117337578614,0.10092576658395276,True
single best (lightgbm_n800_leaves15_lr0.01),0.10076923076923075,0.12669635007784194,0.09895286593413885,True
single best (lightgbm_n800_leaves15_lr0.01),0.10274247491638794,0.12395553989774606,0.09697128769834469,True
single best (lightgbm_n800_leaves15_lr0.01),0.10471571906354514,0.12383515309859908,0.09498097449927868,True
single best (lightgbm_n800_leaves15_lr0.01),0.10668896321070233,0.1235549365245465,0.09298186845268405,True
single best (lightgbm_n800_leaves15_lr0.01),0.10866220735785952,0.12222613610981217,0.09097391116172719,True
single best (lightgbm_n800_leaves15_lr0.01),0.1106354515050167,0.12195032517642197,0.08895704371131134,True
single best (lightgbm_n800_leaves15_lr0.01),0.11260869565217389,0.12167328763126001,0.08693120666231452,True
single best (lightgbm_n800_leaves15_lr0.01),0.11458193979933108,0.12018921193155171,0.08489634004575024,True
single best (lightgbm_n800_leaves15_lr0.01),0.11655518394648827,0.12027865473480767,0.08285238335684995,True
single best (lightgbm_n800_leaves15_lr0.01),0.11852842809364547,0.11862337506185286,0.0807992755490663,True
single best (lightgbm_n800_leaves15_lr0.01),0.12050167224080266,0.11696688277535423,0.07873695502799526,True
single best (lightgbm_n800_leaves15_lr0.01),0.12247491638795985,0.11669421124633891,0.07666535964521654,True
single best (lightgbm_n800_leaves15_lr0.01),0.12444816053511704,0.1164203106695974,0.07458442669205054,True
single best (lightgbm_n800_leaves15_lr0.01),0.12642140468227422,0.11634561134843233,0.07249409289323092,True
single best (lightgbm_n800_leaves15_lr0.01),0.1283946488294314,0.11627684504530761,0.07039429440049082,True
single best (lightgbm_n800_leaves15_lr0.01),0.13036789297658863,0.11621405214727781,0.06828496678606226,True
