strategy,threshold,tp,tn,fp,fn,misclass_rate,accuracy,sensitivity,specificity,ppv,npv,lr_plus,lr_minus
single best (lightgbm_n800_leaves15_lr0.01),0.0,137,0,585,0,0.8102493074792244,0.1897506925207756,1.0,0.0,0.18975069252077562,,1.0,inf
single best (lightgbm_n800_leaves15_lr0.01),9.768938506484497e-05,137,0,585,0,0.8102493074792244,0.1897506925207756,1.0,0.0,0.18975069252077562,,1.0,inf
single best (lightgbm_n800_leaves15_lr0.01),0.00010239530028774706,137,1,584,0,0.8088642659279779,0.1911357340720221,1.0,0.0017094017094017094,0.1900138696255201,1.0,1.0017123287671232,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00012341255967802882,137,2,583,0,0.8074792243767313,0.19252077562326875,1.0,0.003418803418803419,0.19027777777777777,1.0,1.0034305317324186,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0001404370370378622,137,3,582,0,0.8060941828254847,0.19390581717451527,1.0,0.005128205128205128,0.1905424200278164,1.0,1.0051546391752577,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0001474107483143111,137,4,581,0,0.8047091412742382,0.1952908587257618,1.0,0.006837606837606838,0.19080779944289694,1.0,1.0068846815834767,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0001532895008575445,137,5,580,0,0.8033240997229917,0.19667590027700832,1.0,0.008547008547008548,0.1910739191073919,1.0,1.0086206896551724,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0001571626158901504,137,6,579,0,0.8019390581717452,0.19806094182825484,1.0,0.010256410256410256,0.19134078212290503,1.0,1.0103626943005182,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00016312020823159453,137,7,578,0,0.8005540166204986,0.19944598337950137,1.0,0.011965811965811967,0.1916083916083916,1.0,1.0121107266435985,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00018568622650676783,137,8,577,0,0.7991689750692521,0.2008310249307479,1.0,0.013675213675213675,0.19187675070028012,1.0,1.0138648180242633,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00018670332106472107,137,9,576,0,0.7977839335180056,0.20221606648199442,1.0,0.015384615384615385,0.19214586255259467,1.0,1.015625,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00020552231813736937,137,10,575,0,0.796398891966759,0.20360110803324105,1.0,0.017094017094017096,0.19241573033707865,1.0,1.0173913043478262,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002075967554122191,137,11,574,0,0.7950138504155124,0.20498614958448758,1.0,0.018803418803418803,0.19268635724331926,1.0,1.019163763066202,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00021462911679710764,137,12,573,0,0.7936288088642659,0.2063711911357341,1.0,0.020512820512820513,0.19295774647887323,1.0,1.0209424083769634,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00022112306480008253,137,13,572,0,0.7922437673130194,0.20775623268698062,1.0,0.022222222222222223,0.19322990126939352,1.0,1.0227272727272727,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00022212143206386286,137,14,571,0,0.7908587257617729,0.20914127423822715,1.0,0.023931623931623933,0.19350282485875706,1.0,1.0245183887915936,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00022309860797846079,137,15,570,0,0.7894736842105263,0.21052631578947367,1.0,0.02564102564102564,0.19377652050919378,1.0,1.0263157894736843,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00023522637572676567,137,16,569,0,0.7880886426592798,0.2119113573407202,1.0,0.02735042735042735,0.19405099150141644,1.0,1.0281195079086116,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002417606569569499,137,17,568,0,0.7867036011080333,0.21329639889196672,1.0,0.02905982905982906,0.19432624113475178,1.0,1.0299295774647887,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002460757195110291,137,18,567,0,0.7853185595567868,0.21468144044321325,1.0,0.03076923076923077,0.19460227272727273,1.0,1.0317460317460319,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00025823928707516665,137,19,566,0,0.7839335180055401,0.21606648199445988,1.0,0.03247863247863248,0.19487908961593173,1.0,1.0335689045936396,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002667770609546551,137,20,565,0,0.7825484764542936,0.2174515235457064,1.0,0.03418803418803419,0.19515669515669515,1.0,1.0353982300884956,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00027293663201082284,137,21,564,0,0.7811634349030471,0.21883656509695293,1.0,0.035897435897435895,0.19543509272467904,1.0,1.0372340425531914,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002734795465281129,137,22,563,0,0.7797783933518005,0.22022160664819945,1.0,0.037606837606837605,0.1957142857142857,1.0,1.039076376554174,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00027667946431801497,137,23,562,0,0.778393351800554,0.22160664819944598,1.0,0.039316239316239315,0.19599427753934193,1.0,1.0409252669039146,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002825385297499789,137,24,561,0,0.7770083102493075,0.2229916897506925,1.0,0.041025641025641026,0.19627507163323782,1.0,1.0427807486631016,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002829829699117688,137,25,560,0,0.775623268698061,0.22437673130193903,1.0,0.042735042735042736,0.19655667144906744,1.0,1.0446428571428572,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00029546042378547144,137,26,559,0,0.7742382271468145,0.22576177285318555,1.0,0.044444444444444446,0.1968390804597701,1.0,1.0465116279069766,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0002960017591755997,137,27,558,0,0.7728531855955678,0.22714681440443218,1.0,0.046153846153846156,0.1971223021582734,1.0,1.0483870967741935,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00031189588673119755,137,28,557,0,0.7714681440443213,0.2285318559556787,1.0,0.04786324786324787,0.19740634005763688,1.0,1.0502692998204668,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.00031204284260920404,137,29,556,0,0.7700831024930748,0.22991689750692523,1.0,0.04957264957264957,0.1976911976911977,1.0,1.052158273381295,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0003126769241781096,137,30,555,0,0.7686980609418282,0.23130193905817176,1.0,0.05128205128205128,0.19797687861271676,1.0,1.0540540540540542,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0003133979843134368,137,31,554,0,0.7673130193905817,0.23268698060941828,1.0,0.05299145299145299,0.19826338639652677,1.0,1.0559566787003611,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0003136070538131642,137,32,553,0,0.7659279778393352,0.2340720221606648,1.0,0.0547008547008547,0.19855072463768117,1.0,1.057866184448463,0.0
single best (lightgbm_n800_leaves15_lr0.01),0.0003210497766126344,137,33,552,0,0.7645429362880887,0.23545706371191133,1.0,0.05641025641025641,0.1988388969521045,1.0,1.059782608695652,0.0
