dataset,model,prevalence,lr_plus,lr_minus,post_test_prob_if_positive,post_test_prob_if_negative,sanity_check_ppv,sanity_check_1_minus_npv
multiml,single best (hybrid DNN+ConvNet+GBDT),0.1582622187742436,8.924476570289139,0.5443039789015021,0.6265822784810129,0.09283819628647214,0.6265822784810127,0.09283819628647216
multiml,15-model ensemble,0.1582622187742436,12.465533088235285,0.6515697447069996,0.7009345794392522,0.10913705583756343,0.7009345794392523,0.1091370558375635
lnn,single best (LightGBM),0.18975069252077562,10.437956204379574,0.5433246997880856,0.709677419354839,0.11287758346581872,0.7096774193548387,0.11287758346581878
lnn,5-model ensemble,0.18975069252077562,11.496350364963517,0.5117976574435579,0.7291666666666669,0.1070287539936102,0.7291666666666666,0.10702875399361023
