strategy,pt,net_benefit,net_benefit_treat_all,beats_both
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.08103678929765885,0.09728401662291614,0.08403538746405662,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.08301003344481604,0.09645789991127221,0.08206434974651265,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.08498327759197323,0.09602529094020996,0.08008481089768939,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.08695652173913042,0.09542280837858808,0.07809671580036205,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.0889297658862876,0.095012853833562,0.07610000885980266,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.0909030100334448,0.09465163679313862,0.07409463399859775,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.092876254180602,0.09386289456813797,0.07208053465139859,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.09484949832775919,0.0931011558499842,0.07005765375960257,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.09682274247491637,0.09286560012663231,0.06802593376596497,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.09879598662207356,0.09242482897006842,0.06598531660913991,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.10076923076923075,0.09176216999670173,0.06393574371814945,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.10274247491638794,0.09174914575198638,0.06187715600677965,True
"single best (hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy)",0.10471571906354514,0.0911556015505007,0.059809493867902574,True
