name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"SVC(kernel=poly,C=1)",0.7861,0.0334,0.9319,0.9209,0.8588,0.63,ok
"MLP(hidden=(100, 50),alpha=0.001)",0.7859,0.0228,0.944,0.9049,0.8371,5.17,ok
"MLP(hidden=(100, 50),alpha=0.01)",0.7859,0.023,0.9444,0.9055,0.8379,5.26,ok
"MLP(hidden=(100, 50),alpha=0.0001)",0.785,0.0233,0.9428,0.9054,0.8379,5.38,ok
"MLP(hidden=(100,),alpha=0.01)",0.7836,0.034,0.942,0.9064,0.8394,8.09,ok
"KNN(k=15,weights=uniform)",0.7819,0.0541,0.9312,0.9199,0.8549,0.15,ok
"KNN(k=15,weights=distance)",0.7809,0.0546,0.9348,0.9199,0.8549,0.15,ok
"MLP(hidden=(100,),alpha=0.001)",0.7801,0.0307,0.9406,0.9054,0.8379,7.57,ok
"MLP(hidden=(100,),alpha=0.0001)",0.78,0.0307,0.9405,0.9077,0.8417,7.73,ok
"GradBoost(n=50,lr=0.01,depth=4)",0.7786,0.0223,0.9312,0.9141,0.8417,3.35,ok
"SGDClassifier(loss=hinge,alpha=0.001)",0.7696,0.0275,0.9339,0.913,0.8495,0.15,ok
"KNN(k=11,weights=distance)",0.763,0.0603,0.9274,0.9218,0.8588,0.14,ok
"KNN(k=11,weights=uniform)",0.7623,0.0626,0.9235,0.9218,0.8588,0.14,ok
"SVC(kernel=poly,C=10)",0.7587,0.0387,0.9211,0.9161,0.8541,0.81,ok
"KNN(k=9,weights=distance)",0.7545,0.0499,0.9238,0.9217,0.8588,0.14,ok
"KNN(k=9,weights=uniform)",0.7541,0.0497,0.9199,0.9217,0.8588,0.13,ok
"DecisionTree(depth=3,criterion=entropy)",0.7431,0.0266,0.9184,0.919,0.858,0.14,ok
"SGDClassifier(loss=modified_huber,alpha=0.0001)",0.7427,0.0785,0.9231,0.8807,0.8022,0.13,ok
"KNN(k=7,weights=distance)",0.738,0.0445,0.9166,0.9207,0.8572,0.15,ok
"DecisionTree(depth=4,criterion=entropy)",0.7356,0.018,0.9156,0.9172,0.8565,0.16,ok
"DecisionTree(depth=3,criterion=gini)",0.7346,0.0297,0.9135,0.9181,0.8565,0.14,ok
"KNN(k=7,weights=uniform)",0.7339,0.0452,0.9123,0.9207,0.8572,0.13,ok
"DecisionTree(depth=5,criterion=entropy)",0.7325,0.0256,0.9122,0.9108,0.8464,0.18,ok
"SGDClassifier(loss=log_loss,alpha=0.0001)",0.7259,0.0362,0.9169,0.8777,0.7983,0.17,ok
"KNN(k=5,weights=distance)",0.7222,0.0419,0.9101,0.9202,0.8572,0.14,ok
"SVC(kernel=poly,C=100)",0.7218,0.0551,0.9052,0.9106,0.8464,0.93,ok
"DecisionTree(depth=2,criterion=entropy)",0.7201,0.0378,0.907,0.923,0.8635,0.11,ok
"KNN(k=5,weights=uniform)",0.7172,0.0425,0.9061,0.9202,0.8572,0.14,ok
"DecisionTree(depth=2,criterion=gini)",0.7102,0.0389,0.9044,0.922,0.8611,0.11,ok
"SGDClassifier(loss=hinge,alpha=0.0001)",0.7079,0.0476,0.9079,0.8806,0.7999,0.12,ok
"KNN(k=3,weights=distance)",0.7055,0.0339,0.9045,0.9195,0.8572,0.13,ok
"DecisionTree(depth=6,criterion=entropy)",0.7052,0.0293,0.9031,0.904,0.8355,0.19,ok
"KNN(k=3,weights=uniform)",0.7048,0.0364,0.9015,0.9195,0.8572,0.18,ok
"DecisionTree(depth=5,criterion=gini)",0.7001,0.0392,0.9034,0.9137,0.8503,0.17,ok
"DecisionTree(depth=4,criterion=gini)",0.6928,0.0245,0.9026,0.9085,0.841,0.15,ok
"SGDClassifier(loss=modified_huber,alpha=0.001)",0.6859,0.0828,0.9078,0.8852,0.806,0.14,ok
"DecisionTree(depth=None,criterion=gini)",0.661,0.0438,0.8875,0.8845,0.8076,0.3,ok
"DecisionTree(depth=8,criterion=entropy)",0.6575,0.0471,0.8867,0.8942,0.82,0.2,ok
"DecisionTree(depth=8,criterion=gini)",0.6572,0.0721,0.8898,0.9036,0.8355,0.21,ok
"DecisionTree(depth=6,criterion=gini)",0.6418,0.0615,0.8847,0.9107,0.8456,0.18,ok
"DecisionTree(depth=10,criterion=entropy)",0.636,0.0358,0.8796,0.8895,0.813,0.21,ok
"DecisionTree(depth=None,criterion=entropy)",0.6336,0.0274,0.8791,0.8884,0.8115,0.21,ok
"DecisionTree(depth=10,criterion=gini)",0.5841,0.0714,0.8628,0.8997,0.8285,0.23,ok
BernoulliNB(alpha=1.0),0.5608,0.0448,0.8594,0.9141,0.8417,0.09,ok
BernoulliNB(alpha=2.0),0.5608,0.0448,0.8594,0.9141,0.8417,0.09,ok
BernoulliNB(alpha=0.1),0.557,0.0494,0.8583,0.9141,0.8417,0.1,ok
BernoulliNB(alpha=0.5),0.5568,0.0494,0.8582,0.9141,0.8417,0.1,ok
