name,auroc_mean,auroc_std,auprc_mean,f1_mean,accuracy_mean,fit_seconds,status
"LightGBM(n=200,depth=7,lr=0.05)",0.8432,0.022,0.9616,0.9282,0.8743,0.88,ok
"CatBoost(iter=300,depth=6,lr=0.01)",0.8432,0.0162,0.9631,0.9257,0.8673,4.39,ok
"RandomForest(n=100,depth=10,criterion=entropy)",0.8429,0.0273,0.9612,0.9248,0.8658,1.83,ok
"RandomForest(n=100,depth=5,criterion=entropy)",0.8428,0.0255,0.9617,0.9234,0.8619,1.89,ok
"ExtraTrees(n=100,depth=10,criterion=entropy)",0.8428,0.0218,0.9631,0.9229,0.8603,1.52,ok
"RandomForest(n=100,depth=None,criterion=entropy)",0.8427,0.0312,0.9619,0.9294,0.8743,1.85,ok
"ExtraTrees(n=300,depth=5,criterion=gini)",0.8424,0.0182,0.9624,0.916,0.8456,4.49,ok
"XGBoost(n=100,depth=6,lr=0.1)",0.8424,0.0192,0.9628,0.9298,0.8767,1.06,ok
"XGBoost(n=200,depth=5,lr=0.1)",0.8424,0.0263,0.9622,0.9294,0.8766,1.48,ok
"XGBoost(n=200,depth=6,lr=0.1)",0.8423,0.0187,0.9631,0.9291,0.8759,1.64,ok
"CatBoost(iter=300,depth=4,lr=0.01)",0.8423,0.0193,0.9623,0.9262,0.8681,2.2,ok
"CatBoost(iter=300,depth=8,lr=0.05)",0.8423,0.0233,0.9628,0.9231,0.8635,12.17,ok
"LightGBM(n=50,depth=5,lr=0.1)",0.8422,0.0277,0.9608,0.9286,0.8743,0.26,ok
"ExtraTrees(n=300,depth=5,criterion=entropy)",0.8421,0.0158,0.9624,0.916,0.8456,4.45,ok
"LightGBM(n=50,depth=5,lr=0.05)",0.842,0.0285,0.9613,0.9306,0.8774,0.25,ok
"ExtraTrees(n=200,depth=15,criterion=gini)",0.8419,0.0258,0.9617,0.9249,0.865,3.1,ok
"LightGBM(n=100,depth=7,lr=0.05)",0.8419,0.0252,0.9607,0.9282,0.8743,0.53,ok
"LightGBM(n=200,depth=5,lr=0.05)",0.8419,0.0243,0.9617,0.9288,0.8759,0.62,ok
