dataset,model,auc,threshold,sens,spec,dor
multiml,"hybrid_dnn(64,)_conv(8, 16)_gbdt100-5-0.05_gbdt_heavy",0.8565645613083943,0.10590893414417529,0.9950980392156863,0.32995391705069127,99.96423658872115
multiml,"hybrid_dnn(64,)_conv(16, 32)_gbdt100-5-0.05_gbdt_heavy",0.8565193819463268,0.8773809612517233,0.0784313725490196,0.9990783410138249,92.25531914893435
multiml,lightgbm_n300_leaves31_lr0.05,0.8537318153067679,0.9931045291155266,0.06372549019607843,0.9990783410138249,73.78010471204043
multiml,rf_n200_d15_None,0.8531828860576488,0.6404166666666667,0.11274509803921569,0.9981566820276497,68.80939226519202
multiml,lightgbm_n200_leaves31_lr0.05,0.85284178187404,0.9529710876285126,0.10294117647058823,0.9990783410138249,124.39344262294836
multiml,rf_n800_d15_None,0.8524487214240535,0.6675,0.09313725490196079,0.9990783410138249,111.32972972972752
multiml,extra_trees_n800_d15,0.8504292039396404,0.5984773937157858,0.09313725490196079,0.9990783410138249,111.32972972972752
multiml,rf_huge_n300_leafnodes2500_None,0.8495030270172585,0.6566666666666666,0.10294117647058823,0.9990783410138249,124.39344262294836
multiml,rf_huge_n300_leafnodes5000_None,0.8495030270172585,0.6566666666666666,0.10294117647058823,0.9990783410138249,124.39344262294836
multiml,extra_trees_n800_d30,0.8491935483870967,0.60375,0.09313725490196079,0.9990783410138249,111.32972972972752
multiml,"dnn_v2_(16,)_drop0.1_lr0.005_wd0.1",0.8490015360983103,0.9377313256263733,0.058823529411764705,0.9990783410138249,67.74999999999866
multiml,catboost_n800_d8_lr0.1,0.848712388181079,0.9538045546095789,0.0784313725490196,0.9990783410138249,92.25531914893435
multiml,catboost_n500_d8_lr0.1,0.8484458299448812,0.9264957770008869,0.08823529411764706,0.9990783410138249,104.90322580644954
multiml,bagging_n200_ms0.8,0.8480075901328274,0.72,0.10294117647058823,0.9990783410138249,124.39344262294836
multiml,lightgbm_goss_n300_leaves63_lr0.05,0.8471627360621669,0.9189631170028286,0.09313725490196079,0.9990783410138249,111.32972972972752
lnn,lightgbm_n800_leaves15_lr0.01,0.8891883461226527,0.0018446030416154717,0.9927007299270073,0.3128205128205128,61.910447761194106
lnn,lightgbm_n500_leaves15_lr0.01,0.8888452180422983,0.920993290550891,0.10218978102189781,0.9982905982905983,66.4715447154474
lnn,xgboost_n100_d3_lr0.2,0.8886518185788259,0.006255794316530228,0.9927007299270073,0.4495726495726496,111.08074534161503
lnn,xgboost_n200_d3_lr0.2,0.8871171002557864,0.0012332169571891427,0.9927007299270073,0.37777777777777777,82.57142857142867
lnn,catboost_n500_d4_lr0.01,0.887004803793125,0.7159457816281456,0.17518248175182483,0.9982905982905983,124.03539823008894
lnn,histgbdt_huge_n100_leafnodes5000,0.8864994697111486,0.0010263743376101883,0.9927007299270073,0.38290598290598293,84.38781163434912
lnn,histgbdt_n100_lr0.1,0.8864994697111486,0.0010263743376101883,0.9927007299270073,0.38290598290598293,84.38781163434912
lnn,lightgbm_goss_n100_leaves31_lr0.1,0.8852579699295028,0.011024891747807849,0.9927007299270073,0.37606837606837606,81.97260273972613
lnn,lightgbm_goss_n100_leaves63_lr0.1,0.8852579699295028,0.011024891747807849,0.9927007299270073,0.37606837606837606,81.97260273972613
lnn,lightgbm_dart_n300_leaves15_lr0.1,0.8852142990829122,0.9573505531869472,0.10948905109489052,0.9982905982905983,71.80327868852484
lnn,catboost_n800_d4_lr0.01,0.8850957639278807,0.7727459848157603,0.18248175182481752,0.9982905982905983,130.35714285714332
lnn,adaboost_n300_lr0.1,0.8831804853702664,0.28921497066925267,0.9927007299270073,0.35213675213675216,73.9208443271769
lnn,adaboost_n500_lr0.1,0.88268138998066,0.31982453033686636,0.9927007299270073,0.358974358974359,76.1600000000001
lnn,catboost_plain_n100_d4_lr0.05,0.8808409757314866,0.8036590589181779,0.13138686131386862,0.9982905982905983,88.33613445378184
lnn,catboost_plain_n200_d4_lr0.05,0.8805228024206126,0.859461776255901,0.1386861313868613,0.9982905982905983,94.03389830508507
