n,rep,sens,spec,dor,fp,n_neg,lrp,lrp_lo,lrp_hi,lrp_ratio,degenerate
100,0,0.5625,0.9880952380952381,106.7142857142861,1,84,47.25000000000017,11.941805704753428,157.65141349087804,13.20163946630994,False
100,1,0.875,0.7380952380952381,19.72727272727273,22,84,3.3409090909090913,2.6449762563184556,3.5585394343507493,1.34539560642555,False
100,2,0.9375,0.5714285714285714,20.0,36,84,2.1875,1.8475730105273285,2.184030797162679,1.1821079788015088,False
100,3,0.625,0.9880952380952381,138.33333333333383,1,84,52.500000000000185,12.658823788323277,183.60711068770115,14.504278893356869,False
100,4,0.1875,0.9880952380952381,19.153846153846224,1,84,15.750000000000057,6.678783980548805,31.32044786181286,4.689543478727577,True
100,5,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,6,0.4375,0.9642857142857143,21.000000000000007,3,84,12.250000000000005,6.694324994461035,18.902951887972087,2.8237278446464154,True
100,7,0.3125,0.9880952380952381,37.72727272727286,1,84,26.250000000000092,8.633333078325286,67.30454041886799,7.79589294288225,True
100,8,0.9375,0.7619047619047619,47.999999999999986,20,84,3.937499999999999,2.914021406823318,4.486551320309853,1.539642539963633,False
100,9,0.3125,0.9880952380952381,37.72727272727286,1,84,26.250000000000092,8.633333078325286,67.30454041886799,7.79589294288225,True
100,10,0.375,0.9761904761904762,24.599999999999973,2,84,15.749999999999982,7.418074445568764,28.19903021707529,3.8013948800311876,True
100,11,0.5,0.9880952380952381,83.0000000000003,1,84,42.00000000000015,11.18076483582524,133.04278021662054,11.899255745933127,False
100,12,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,13,0.375,0.9761904761904762,24.599999999999973,2,84,15.749999999999982,7.418074445568764,28.19903021707529,3.8013948800311876,True
100,14,0.9375,0.7261904761904762,39.78260869565217,23,84,3.4239130434782608,2.6197172925283194,3.7735948467417706,1.4404588073317754,False
100,15,0.5,0.9880952380952381,83.0000000000003,1,84,42.00000000000015,11.18076483582524,133.04278021662054,11.899255745933127,False
100,16,0.9375,0.8095238095238095,63.75,16,84,4.921875,3.442706443368422,5.933697625171738,1.723556080885617,False
100,17,0.875,0.7261904761904762,18.565217391304344,23,84,3.195652173913043,2.556514124513628,3.3684883815850695,1.3176099241094232,False
100,18,0.625,0.9642857142857143,45.000000000000014,3,84,17.500000000000007,8.166717450433968,31.622253161968597,3.8720885538030014,False
100,19,0.3125,0.9880952380952381,37.72727272727286,1,84,26.250000000000092,8.633333078325286,67.30454041886799,7.79589294288225,True
100,20,0.375,0.9880952380952381,49.80000000000018,1,84,31.500000000000114,9.52829487517421,87.81529462867944,9.216265426197138,True
100,21,0.9375,0.7023809523809523,35.39999999999999,25,84,3.1499999999999995,2.4568906264465618,3.4056461967239167,1.3861610932390402,False
100,22,0.9375,0.7976190476190477,59.11764705882355,17,84,4.632352941176472,3.291660233645527,5.4973390808123765,1.6700809593352384,False
100,23,0.5625,0.9642857142857143,34.71428571428573,3,84,15.750000000000007,7.704140184703483,27.151959910911422,3.5243335738907566,False
100,24,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,25,0.4375,0.9880952380952381,64.55555555555578,1,84,36.75000000000013,10.376541248178894,109.75550546136719,10.577272603299248,True
100,26,0.3125,0.9880952380952381,37.72727272727286,1,84,26.250000000000092,8.633333078325286,67.30454041886799,7.79589294288225,True
100,27,0.8125,0.8928571428571429,36.11111111111113,9,84,7.583333333333337,4.88415669931401,9.928758506001225,2.0328501146156386,False
100,28,0.9375,0.5119047619047619,15.73170731707317,41,84,1.920731707317073,1.6671683366423413,1.8660281978615427,1.1192800132107252,False
100,29,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,30,0.4375,0.9880952380952381,64.55555555555578,1,84,36.75000000000013,10.376541248178894,109.75550546136719,10.577272603299248,True
100,31,0.75,0.9523809523809523,59.99999999999993,4,84,15.749999999999982,7.733949233036411,27.047307803568607,3.49721817257774,False
100,32,0.5625,0.9880952380952381,106.7142857142861,1,84,47.25000000000017,11.941805704753428,157.65141349087804,13.20163946630994,False
100,33,0.9375,0.9642857142857143,405.00000000000017,3,84,26.25000000000001,9.906781882529295,58.65300377153363,5.920490071046055,False
100,34,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,35,0.25,0.9880952380952381,27.666666666666764,1,84,21.000000000000075,7.68650326332805,48.380908318978605,6.294267583258784,True
100,36,0.5,0.9880952380952381,83.0000000000003,1,84,42.00000000000015,11.18076483582524,133.04278021662054,11.899255745933127,False
100,37,0.9375,0.6904761904761905,33.46153846153846,26,84,3.0288461538461537,2.383476840095489,3.2456952265464123,1.3617481705491965,False
100,38,0.9375,0.8214285714285714,68.99999999999999,15,84,5.249999999999999,3.6097634440585926,6.438787739137137,1.7837145948538295,False
100,39,0.3125,0.9880952380952381,37.72727272727286,1,84,26.250000000000092,8.633333078325286,67.30454041886799,7.79589294288225,True
100,40,0.9375,0.9523809523809523,299.99999999999966,4,84,19.68749999999998,8.514937609736931,38.38520958522396,4.507984831424957,False
100,41,0.9375,0.7619047619047619,47.999999999999986,20,84,3.937499999999999,2.914021406823318,4.486551320309853,1.539642539963633,False
100,42,0.4375,0.9880952380952381,64.55555555555578,1,84,36.75000000000013,10.376541248178894,109.75550546136719,10.577272603299248,True
100,43,0.9375,0.8333333333333334,75.00000000000001,14,84,5.625000000000001,3.7956167148213655,7.029540658469906,1.8520154132055824,False
100,44,0.9375,0.7857142857142857,55.0,18,84,4.375,3.1543722985829965,5.116905644664606,1.6221628775281904,False
100,45,0.4375,0.9880952380952381,64.55555555555578,1,84,36.75000000000013,10.376541248178894,109.75550546136719,10.577272603299248,True
